timestampMicros,label,intensity
149079165,P1_fallback,0.2
149112533,P1_fallback,0.2
149995994,P2_detected,0.2
150629402,P1_fallback,0.2
150679331,P1_fallback,0.2
151996414,P2_detected,0.2
152180259,P1_detected,0.2
152212856,P1_fallback,0.2
153729042,P1_detected,0.2
153779211,P1_fallback,0.2
153995985,P2_detected,0.2
155295866,P1_fallback,0.2
155329159,P1_fallback,0.2
155996125,P2_detected,0.2
156846175,P1_detected,0.2
156896001,P1_fallback,0.2
157995630,P2_detected,0.2
158412324,P1_fallback,0.2
158445618,P1_fallback,0.2
159962214,P1_fallback,0.2
159995785,P2_fallback,0.2
160012407,P1_fallback,0.2
161529129,P1_fallback,0.2
161562428,P1_fallback,0.2
161995887,P2_detected,0.2
163078988,P1_fallback,0.2
163128794,P1_fallback,0.2
163995556,P2_detected,0.2
164628879,P1_detected,0.2
164679420,P1_fallback,0.2
165995941,P2_detected,0.2
166195273,P1_fallback,0.2
166229048,P1_fallback,0.2
167745324,P1_detected,0.2
167795194,P1_fallback,0.2
167995503,P2_detected,0.2
169311834,P1_fallback,0.2
169345116,P1_fallback,0.2
169995367,P2_detected,0.2
170862028,P1_detected,0.2
170912194,P1_fallback,0.2
171995163,P2_detected,0.2
172428425,P1_fallback,0.2
172461806,P1_fallback,0.2
173978325,P1_fallback,0.2
173995004,P2_fallback,0.2
174028225,P1_fallback,0.2
175544933,P1_fallback,0.2
175578323,P1_fallback,0.2
175995054,P2_detected,0.2
177095488,P1_fallback,0.2
177145043,P1_fallback,0.2
177995017,P2_detected,0.2
178644961,P1_detected,0.2
178695003,P1_fallback,0.2
179994924,P2_detected,0.2
180211864,P1_fallback,0.2
180244799,P1_fallback,0.2
181761792,P1_detected,0.2
181811462,P1_fallback,0.2
181994805,P2_detected,0.2
183328012,P1_fallback,0.2
183361288,P1_fallback,0.2
183994670,P2_detected,0.2
184878196,P1_detected,0.2
184928196,P1_fallback,0.2
185994471,P2_detected,0.2
186444562,P1_fallback,0.2
186477814,P1_fallback,0.2
187994776,P1_fallback,0.2
187994776,P2_fallback,0.2
188044450,P1_fallback,0.2
189560995,P1_fallback,0.2
189594507,P1_fallback,0.2
189994714,P2_detected,0.2
191111096,P1_fallback,0.2
191161598,P1_fallback,0.2
191994258,P2_detected,0.2
